object_id,latitude,longitude
18-300-00101,26.53939,92.53958
18-300-00102,24.48161,91.36262
18-300-00103,26.75348,91.20825
18-300-00104,25.49227,95.92334
18-300-00105,25.9387,95.6035
18-300-00106,24.75959,93.28931
18-300-00107,25.58978,93.89645
18-300-00108,25.70984,91.45362
18-301-00109,27.3423,93.95676
18-301-00110,27.50885,91.15646
18-301-00111,25.13839,94.65349
18-301-00112,27.72623,90.19758
18-301-00113,25.70679,90.62907
18-301-00114,26.45582,92.50062
18-301-00274,26.15706,93.88864
18-302-00115,24.71781,91.30994
18-302-00116,26.88414,94.26417
18-302-00117,27.35117,91.23202
18-302-00118,25.5212,92.25346
18-302-00119,24.78271,95.97656
18-303-00120,27.5501,90.03729
18-303-00121,25.08377,95.0804
18-303-00122,26.0205,93.68077
18-303-00123,25.24735,90.86373
18-303-00264,24.89256,90.02204
18-303-00266,27.27392,94.9946
18-304-00126,26.87052,91.69645
18-304-00127,25.32424,95.76824
18-304-00128,27.32278,90.42925
18-304-00129,26.40786,95.13001
18-304-00271,24.93553,91.89914
18-305-00130,25.99045,94.51382
18-305-00131,24.28302,94.47539
18-305-00132,24.89281,92.00284
18-305-00133,25.71075,92.38225
18-305-00134,24.82105,92.2505
18-305-00135,27.57297,94.08133
18-305-00136,26.41288,90.41218
18-306-00137,27.19621,93.35524
18-306-00138,24.54587,91.66285
18-306-00139,26.23325,90.71569
18-306-00140,25.38066,93.41453
18-307-00141,26.63473,93.99689
18-307-00142,27.73447,92.4308
18-307-00143,26.46183,91.43101
18-307-00144,26.8694,92.33057
18-307-00145,24.89026,93.94826
18-307-00146,25.49312,91.00777
18-307-00147,26.8003,91.40659
18-308-00148,25.55062,95.10886
18-308-00149,25.18965,93.30942
18-308-00150,27.44839,93.05125
18-308-00151,26.45396,90.59549
18-308-00152,27.79872,92.01568
18-308-00153,25.29947,94.53889
18-309-00154,25.43242,93.25259
18-309-00155,25.99435,93.17301
18-309-00156,24.86553,94.93262
18-309-00157,24.60334,92.40934
18-310-00158,26.31937,92.45139
18-310-00159,25.45151,92.35713
18-310-00160,25.75966,93.95928
18-310-00161,27.57174,91.23485
18-310-00162,25.6339,94.9896
18-310-00163,27.28602,93.64148
18-310-00164,24.94064,94.7704
18-311-00165,24.24276,95.51675
18-311-00166,24.26403,92.35437
18-311-00167,27.15908,93.40545
18-311-00168,24.64749,90.4334
18-312-00169,25.27643,90.89292
18-312-00170,24.33237,91.96472
18-312-00171,26.93363,94.20886
18-312-00276,27.30951,89.95267
18-312-00277,25.54213,90.6807
18-313-00172,24.64893,93.82142
18-313-00173,24.75711,95.41026
18-313-00174,27.25276,94.75958
18-313-00175,27.31473,92.34995
18-313-00176,26.01836,91.57981
18-313-00177,25.59743,90.34977
18-314-00178,27.03049,93.04544
18-314-00179,25.03367,94.27548
18-314-00275,26.4487,93.59337
18-315-00180,26.86564,94.94126
18-315-00181,26.50285,93.65314
18-315-00182,26.73824,92.09627
18-315-00183,27.49465,92.19912
18-316-00184,27.52625,92.74505
18-316-00185,26.97857,90.32445
18-316-00186,25.44889,90.13227
18-316-00187,26.16074,93.76728
18-316-00188,26.95367,92.3828
18-317-00189,26.04288,92.58028
18-317-00190,27.6853,90.58568
18-317-00191,26.96418,91.35328
18-317-00192,27.55352,95.74714
18-317-00193,26.40331,92.7106
18-318-00194,24.5018,94.62893
18-318-00195,26.64781,92.13921
18-318-00196,24.85038,91.01822
18-318-00197,24.70532,90.40603
18-319-00198,26.77332,90.42347
18-319-00199,24.46142,93.26939
18-319-00200,25.87219,93.50998
18-319-00201,24.6453,92.64042
18-319-00202,24.56759,91.74178
18-320-00203,26.38017,90.65058
18-320-00204,25.69975,90.93423
18-320-00205,25.12994,90.35388
18-320-00206,25.11233,95.27525
18-320-00207,27.52763,93.05344
18-321-00208,27.07487,95.5447
18-321-00209,25.86719,90.33957
18-321-00210,26.04128,95.16118
18-321-00211,25.38206,92.52996
18-321-00212,26.81532,95.92697
18-321-00213,26.16899,91.19728
18-321-00214,25.72398,95.80737
18-321-00215,27.0451,94.51669
18-321-00216,26.73478,91.83677
18-321-00217,26.83271,92.25585
18-321-00218,26.0132,95.04414
18-321-00272,25.61527,90.87179
18-321-00273,27.17876,93.02055
18-322-00219,27.35477,95.59134
18-322-00220,24.46578,92.1995
18-322-00221,26.36906,90.51838
18-322-00267,27.59435,92.71615
18-323-00222,25.81725,94.60634
18-323-00223,24.72781,94.37818
18-323-00224,26.78331,93.14612
18-323-00225,27.43579,95.29598
18-323-00226,26.49501,89.86308
18-323-00227,27.46121,90.88102
18-323-00228,25.33988,94.52053
18-323-00230,25.33027,92.88525
18-324-00231,25.72218,94.04603
18-324-00232,26.32687,93.13607
18-324-00233,27.0061,91.67049
18-324-00234,24.57475,90.52399
18-324-00260,24.90013,92.44795
18-324-00262,26.36978,92.04094
18-324-00263,27.02451,95.68586
18-325-00237,24.26919,91.82591
18-325-00238,25.72825,92.20988
18-325-00239,26.23843,91.58903
18-325-00269,24.60622,94.19993
18-325-00270,25.79243,89.88753
18-326-00240,26.82456,90.84395
18-326-00241,25.02359,95.57691
18-326-00242,24.82925,93.89208
18-326-00243,24.80556,90.79817
18-326-00244,26.53045,94.448
18-326-00245,25.10653,91.72318
18-326-00246,25.69914,95.9427
18-326-00247,24.41741,91.66185
18-326-00268,27.07067,91.90291
18-755-00248,26.38595,95.00877
18-755-00278,27.32274,95.7084
18-755-00279,25.84371,90.3485
18-756-00249,27.35467,93.69779
18-756-00250,25.17745,94.83415
18-756-00251,27.28189,91.15191
18-757-00252,24.92648,92.42873
18-757-00253,24.37442,95.6638
18-757-00254,25.68949,95.27109
18-758-00256,27.53189,93.05874
18-758-00257,26.37218,95.10719
18-759-00255,25.79499,95.33942
18-760-00280,25.3047,92.07614
18-760-00281,27.58497,91.89768
18-799-00124,25.54372,90.56182
18-799-00125,27.31324,90.59113
18-799-00265,26.91077,93.17813
18-816-00235,27.24793,90.63274
18-816-00236,26.53816,93.22611
18-816-00258,25.02544,90.46881
18-816-00259,24.91207,90.89293
18-816-00261,27.66627,91.60796
