resource,object_id,base_id,units_allocated,distance_km
boats,18-308-00153,BASE_JORHAT,350,164.8
boats,18-308-00153,BASE_SILCHAR,2,184.7
boats,18-310-00160,BASE_SILCHAR,282,157.1
boats,18-310-00160,BASE_LAKHIMPUR,300,164.5
boats,18-306-00137,BASE_GUWAHATI,362,198.9
boats,18-306-00137,BASE_DIBRUGARH,400,156.8
boats,18-306-00137,BASE_TEZPUR,350,83.3
boats,18-306-00137,BASE_NAGAON,350,115.6
boats,18-308-00151,BASE_GUWAHATI,160,118.8
boats,18-308-00151,BASE_DHUBRI,300,77.6
boats,18-308-00151,BASE_BONGAIGAON,300,4.4
boats,18-309-00155,BASE_GUWAHATI,78,144.5
boats,18-309-00155,BASE_SILCHAR,116,135.0
food_units,18-308-00153,BASE_JORHAT,863,164.8
food_units,18-308-00153,BASE_SILCHAR,893,184.7
food_units,18-310-00160,BASE_JORHAT,2716,112.9
food_units,18-310-00160,BASE_LAKHIMPUR,190,164.5
food_units,18-306-00137,BASE_DIBRUGARH,6627,156.8
food_units,18-306-00137,BASE_LAKHIMPUR,682,74.3
food_units,18-308-00151,BASE_GUWAHATI,444,118.8
food_units,18-308-00151,BASE_DHUBRI,3352,77.6
food_units,18-309-00155,BASE_GUWAHATI,5403,144.5
food_units,18-309-00155,BASE_NAGAON,1026,62.6
food_units,18-305-00134,BASE_GUWAHATI,6153,156.0
food_units,18-308-00150,BASE_TEZPUR,1805,93.9
food_units,18-799-00265,BASE_LAKHIMPUR,2076,98.5
food_units,18-302-00118,BASE_BONGAIGAON,945,199.9
food_units,18-309-00157,BASE_NAGAON,4476,195.8
food_units,18-756-00250,BASE_JORHAT,1709,186.0
food_units,18-303-00264,BASE_BONGAIGAON,1851,184.2
food_units,18-756-00251,BASE_TEZPUR,1282,178.5
food_units,18-314-00275,BASE_DIBRUGARH,1373,173.3
food_units,18-314-00275,BASE_TEZPUR,1767,81.6
food_units,18-312-00276,BASE_DHUBRI,2648,143.3
food_units,18-312-00276,BASE_BONGAIGAON,33,110.4
food_units,18-323-00223,BASE_SILCHAR,1067,161.9
food_units,18-303-00266,BASE_LAKHIMPUR,2500,88.1
food_units,18-308-00152,BASE_TEZPUR,53,151.0
food_units,18-308-00152,BASE_NAGAON,1498,174.5
food_units,18-307-00145,BASE_SILCHAR,2314,118.1
food_units,18-310-00161,BASE_TEZPUR,2093,186.8
food_units,18-306-00138,BASE_SILCHAR,2517,117.2
food_units,18-320-00205,BASE_BONGAIGAON,998,151.2
food_units,18-312-00277,BASE_BONGAIGAON,1070,104.7
food_units,18-312-00169,BASE_BONGAIGAON,1103,137.6
food_units,18-816-00259,BASE_SILCHAR,1209,190.5
food_units,18-323-00224,BASE_JORHAT,1712,105.1
food_units,18-307-00144,BASE_LAKHIMPUR,552,180.3
medical_teams,18-308-00153,BASE_JORHAT,35,164.8
medical_teams,18-308-00153,BASE_SILCHAR,9,184.7
medical_teams,18-310-00160,BASE_SILCHAR,31,157.1
medical_teams,18-310-00160,BASE_TEZPUR,12,151.1
medical_teams,18-310-00160,BASE_LAKHIMPUR,30,164.5
medical_teams,18-306-00137,BASE_GUWAHATI,60,198.9
medical_teams,18-306-00137,BASE_DIBRUGARH,40,156.8
medical_teams,18-306-00137,BASE_TEZPUR,23,83.3
medical_teams,18-306-00137,BASE_NAGAON,35,115.6
medical_teams,18-308-00151,BASE_DHUBRI,30,77.6
medical_teams,18-308-00151,BASE_BONGAIGAON,30,4.4
