object_id,impact_category,predicted_probability,priority_rank,resource,required,allocated,unmet,fulfilment_pct,within_base_range
18-308-00153,High,0.80949086,1,boats,352.0,352.0,0.0,100.0,True
18-308-00153,High,0.80949086,1,food_units,1756.0,1756.0,0.0,100.0,True
18-308-00153,High,0.80949086,1,medical_teams,44.0,44.0,0.0,100.0,True
18-310-00160,High,0.7962734,2,boats,582.0,582.0,0.0,100.0,True
18-310-00160,High,0.7962734,2,food_units,2906.0,2906.0,0.0,100.0,True
18-310-00160,High,0.7962734,2,medical_teams,73.0,73.0,0.0,100.0,True
18-306-00137,High,0.6768947,3,boats,1462.0,1462.0,0.0,100.0,True
18-306-00137,High,0.6768947,3,food_units,7309.0,7309.0,0.0,100.0,True
18-306-00137,High,0.6768947,3,medical_teams,183.0,158.0,25.0,86.3,True
18-308-00151,High,0.668537,4,boats,760.0,760.0,0.0,100.0,True
18-308-00151,High,0.668537,4,food_units,3796.0,3796.0,0.0,100.0,True
18-308-00151,High,0.668537,4,medical_teams,95.0,60.0,35.0,63.2,True
18-309-00155,Medium,0.6584723,5,boats,1286.0,194.0,1092.0,15.1,True
18-309-00155,Medium,0.6584723,5,food_units,6429.0,6429.0,0.0,100.0,True
18-309-00155,Medium,0.6584723,5,medical_teams,161.0,0.0,161.0,0.0,True
18-305-00134,Medium,0.6280526,6,boats,1231.0,0.0,1231.0,0.0,True
18-305-00134,Medium,0.6280526,6,food_units,6153.0,6153.0,0.0,100.0,True
18-305-00134,Medium,0.6280526,6,medical_teams,154.0,0.0,154.0,0.0,True
18-308-00150,Medium,0.6059955,7,boats,361.0,0.0,361.0,0.0,True
18-308-00150,Medium,0.6059955,7,food_units,1805.0,1805.0,0.0,100.0,True
18-308-00150,Medium,0.6059955,7,medical_teams,46.0,0.0,46.0,0.0,True
18-799-00265,Medium,0.6013312,8,boats,416.0,0.0,416.0,0.0,True
18-799-00265,Medium,0.6013312,8,food_units,2076.0,2076.0,0.0,100.0,True
18-799-00265,Medium,0.6013312,8,medical_teams,52.0,0.0,52.0,0.0,True
18-302-00118,Medium,0.5920421,9,boats,189.0,0.0,189.0,0.0,True
18-302-00118,Medium,0.5920421,9,food_units,945.0,945.0,0.0,100.0,True
18-302-00118,Medium,0.5920421,9,medical_teams,24.0,0.0,24.0,0.0,True
18-309-00157,Medium,0.58626014,10,boats,896.0,0.0,896.0,0.0,True
18-309-00157,Medium,0.58626014,10,food_units,4476.0,4476.0,0.0,100.0,True
18-309-00157,Medium,0.58626014,10,medical_teams,112.0,0.0,112.0,0.0,True
18-756-00250,Medium,0.5798324,11,boats,342.0,0.0,342.0,0.0,True
18-756-00250,Medium,0.5798324,11,food_units,1709.0,1709.0,0.0,100.0,True
18-756-00250,Medium,0.5798324,11,medical_teams,43.0,0.0,43.0,0.0,True
18-303-00264,Medium,0.5570447,12,boats,371.0,0.0,371.0,0.0,True
18-303-00264,Medium,0.5570447,12,food_units,1851.0,1851.0,0.0,100.0,True
18-303-00264,Medium,0.5570447,12,medical_teams,47.0,0.0,47.0,0.0,True
18-309-00156,Medium,0.54212457,13,boats,1021.0,0.0,1021.0,0.0,False
18-309-00156,Medium,0.54212457,13,food_units,5104.0,0.0,5104.0,0.0,False
18-309-00156,Medium,0.54212457,13,medical_teams,128.0,0.0,128.0,0.0,False
18-756-00251,Medium,0.5293357,14,boats,257.0,0.0,257.0,0.0,True
18-756-00251,Medium,0.5293357,14,food_units,1282.0,1282.0,0.0,100.0,True
18-756-00251,Medium,0.5293357,14,medical_teams,33.0,0.0,33.0,0.0,True
18-314-00275,Medium,0.52408004,15,boats,628.0,0.0,628.0,0.0,True
