feature,mean_abs_shap,importance_share_pct
max_rain,0.97913134,15.86
sum_rain,0.6675125,10.81
mean_ndbi,0.47973365,7.77
mean_rain,0.45674488,7.4
mean_ndvi,0.4139643,6.71
net_sown_area_in_hac,0.33009565,5.35
mean_sex_ratio,0.31804726,5.15
elevation_mean,0.2795177,4.53
sum_aged_population,0.27687797,4.49
impact,0.27043763,4.38
schools_count,0.23947862,3.88
drainage_density,0.20590134,3.34
distance_from_river,0.20588665,3.34
slope_mean,0.17851986,2.89
sum_population,0.17449829,2.83
total_hhd,0.17353535,2.81
road_length,0.15731376,2.55
mean_cn,0.12769063,2.07
health_centres_count,0.1254882,2.03
sum_young_population,0.112773135,1.83
