object_id,timeperiod,top_reasons,shap_max_rain,shap_mean_rain,shap_sum_rain,shap_mean_ndvi,shap_mean_ndbi,shap_sum_population,shap_sum_aged_population,shap_sum_young_population,shap_mean_sex_ratio,shap_total_hhd,shap_net_sown_area_in_hac,shap_schools_count,shap_health_centres_count,shap_road_length,shap_distance_from_river,shap_drainage_density,shap_elevation_mean,shap_slope_mean,shap_mean_cn,shap_impact
18-300-00101,2026-04-01,mean_ndbi contributed -15%; health_centres_count contributed -13%; sum_rain contributed -9%,0.18980607,-0.32327995,-0.3263837,-0.18723556,-0.58128786,-0.17570539,0.029862985,-0.0478281,-0.1681122,0.09958568,-0.13115552,-0.2551618,-0.4876055,-0.017970823,0.030712185,-0.27342916,-0.06499295,-0.029545344,-0.06993225,-0.30702567
18-300-00102,2026-04-01,max_rain contributed -19%; sum_rain contributed -11%; net_sown_area_in_hac contributed -11%,-1.4216558,-0.65570676,-0.84262425,-0.43042406,-0.61342967,-0.25283167,-0.662595,0.14693893,-0.28966132,-0.54478955,-0.79371876,0.099080645,0.03932015,-0.3262865,0.0049190503,0.16697136,-0.07080488,0.044248227,0.1360558,0.014480899
18-300-00103,2026-04-01,max_rain contributed -19%; sum_rain contributed -11%; mean_ndvi contributed -11%,-0.7510623,-0.13855863,-0.4550948,-0.4489831,-0.4363796,-0.21137789,-0.14003363,-0.041892786,-0.103515394,-0.03609809,-0.05566905,-0.060729537,0.08298558,0.120888464,-0.1836458,0.06461528,-0.2083736,-0.09554255,-0.13469054,-0.27496585
18-300-00104,2026-04-01,mean_ndvi contributed -25%; mean_ndbi contributed -15%; max_rain contributed -12%,-0.67442787,-0.023119386,0.16334939,-1.352323,-0.8138577,-0.19503313,-0.044433404,-0.2744605,-0.093234435,0.026250562,-0.14749764,-0.2927642,0.010972474,0.027582934,-0.115479745,-0.3028244,0.09423656,-0.11289609,-0.31000453,-0.397308
18-300-00105,2026-04-01,max_rain contributed -26%; net_sown_area_in_hac contributed -15%; mean_ndvi contributed -14%,-1.4975414,-0.25900108,-0.48079342,-0.8231892,0.032908525,0.021179328,-0.053109296,0.04149099,0.056964375,-0.3065971,-0.8490351,0.01099077,0.15517142,-0.30573127,-0.26937577,-0.16141345,-0.005014298,0.1373984,0.0025856127,-0.27584365
18-300-00106,2026-04-01,sum_rain contributed -15%; schools_count contributed -13%; mean_ndbi contributed -8%,-0.23448794,-0.2601864,-1.2552263,-0.6062876,-0.64745504,-0.33157104,-0.42480046,-0.25276348,-0.1472718,-0.42509723,-0.4232314,-1.0665401,-0.3709354,-0.51470214,-0.41775578,-0.33601803,-0.14176948,-0.017849796,0.017938294,-0.45052093
18-300-00107,2026-04-01,max_rain contributed -13%; net_sown_area_in_hac contributed -12%; schools_count contributed -12%,-1.5275705,-0.6896148,-0.98198503,-0.37828723,-0.76611304,-0.019749656,-0.5880117,0.06732095,-0.14674737,-0.5690715,-1.3971452,-1.3398092,-0.083737075,-0.697996,-0.90847564,-0.55432624,-0.15914541,0.029376546,-0.13807853,-0.42289707
18-300-00108,2026-04-01,sum_rain contributed -16%; max_rain contributed -12%; net_sown_area_in_hac contributed -11%,-1.5590774,-0.7205946,-1.9766759,-0.9800371,-1.0505772,-0.12433313,-0.20753357,-0.22539012,-0.042989664,-0.5915758,-1.4175415,-1.2334485,-0.11713853,-0.5173529,-0.29410776,-0.46483615,0.0984245,-0.36081648,-0.14694728,-0.5435798
18-301-00109,2026-04-01,elevation_mean contributed -19%; max_rain contributed -14%; sum_rain contributed -12%,-1.4047406,-0.7855591,-1.2607039,-0.041853078,-1.0706108,-0.35005626,-0.24691042,-0.21136674,-0.25246078,-0.26307946,-0.3475718,-0.13104454,0.004217542,-0.67618406,-0.11465582,0.001789175,-1.9318666,-0.027548226,-0.4941403,-0.5038367
18-301-00110,2026-04-01,elevation_mean contributed -26%; mean_ndbi contributed -14%; drainage_density contributed -8%,0.24649154,-0.21277754,-0.37145013,-0.24815328,-0.7387432,-0.16490439,-0.24629502,-0.17378695,-0.046967708,0.0422326,-0.056162115,0.032466155,0.034975108,-0.3361364,0.1268869,-0.43507355,-1.3785735,-0.0017322381,-0.069039844,-0.33164406
