iter	Passed	Remaining
0	55	27733
1	60	15042
2	64	10714
3	68	8532
4	73	7232
5	77	6349
6	81	5721
7	85	5246
8	89	4868
9	94	4648
10	99	4404
11	103	4196
12	107	4018
13	111	3856
14	115	3721
15	119	3603
16	123	3501
17	127	3406
18	131	3323
19	135	3248
20	139	3182
21	143	3119
22	147	3065
23	151	3006
24	155	2953
25	159	2906
26	163	2861
27	167	2819
28	171	2779
29	175	2744
30	178	2707
31	182	2675
32	186	2644
33	190	2616
34	194	2589
35	198	2562
36	202	2538
37	207	2517
38	210	2493
39	214	2470
40	218	2447
41	222	2425
42	226	2408
43	230	2389
44	234	2370
45	238	2353
46	242	2334
47	245	2316
48	249	2300
49	253	2285
50	257	2270
51	261	2254
52	265	2241
53	269	2226
54	273	2214
55	277	2200
56	281	2187
57	285	2174
58	289	2161
59	293	2151
60	297	2138
61	301	2127
62	305	2115
63	308	2104
64	312	2093
65	316	2081
66	320	2071
67	324	2059
68	328	2049
69	331	2039
70	335	2029
71	339	2020
72	343	2012
73	347	2002
74	351	1994
75	356	1987
76	360	1978
77	364	1970
78	368	1962
79	372	1955
80	376	1947
81	380	1939
82	384	1933
83	389	1926
84	393	1919
85	397	1911
86	401	1905
87	405	1899
88	409	1892
89	413	1885
90	417	1877
91	422	1871
92	426	1864
93	430	1858
94	434	1851
95	438	1844
96	442	1838
97	446	1832
98	450	1825
99	454	1819
100	458	1813
101	462	1806
102	466	1799
103	471	1794
104	475	1788
105	479	1781
106	483	1775
107	487	1769
108	491	1763
109	495	1756
110	499	1749
111	503	1743
112	507	1736
113	511	1731
114	515	1725
115	519	1718
116	523	1712
117	526	1705
118	530	1699
119	534	1693
120	538	1687
121	543	1682
122	547	1677
123	551	1671
124	555	1666
125	559	1660
126	563	1654
127	567	1649
128	571	1643
129	575	1638
130	579	1632
131	583	1626
132	587	1621
133	591	1615
134	595	1610
135	599	1605
136	603	1599
137	607	1594
138	612	1589
139	616	1584
140	619	1578
141	624	1573
142	628	1568
143	632	1563
144	636	1557
145	640	1552
146	644	1547
147	648	1541
148	652	1537
149	656	1532
150	660	1526
151	664	1521
152	668	1516
153	672	1510
154	676	1505
155	680	1500
156	684	1495
157	688	1490
158	692	1485
159	696	1480
160	700	1475
161	704	1470
162	708	1465
163	713	1460
164	717	1456
165	721	1451
166	725	1446
167	729	1441
168	733	1436
169	737	1432
170	741	1427
171	745	1422
172	749	1417
173	754	1412
174	758	1407
175	762	1402
176	766	1397
177	770	1393
178	773	1387
179	777	1382
180	781	1377
181	785	1373
182	789	1368
183	793	1363
184	797	1358
185	801	1353
186	805	1349
187	810	1344
188	813	1339
189	818	1334
190	821	1329
191	826	1325
192	830	1320
193	834	1315
194	838	1310
195	842	1306
196	846	1301
197	850	1296
198	854	1291
199	857	1286
200	861	1281
201	865	1277
202	869	1272
203	898	1303
204	902	1298
205	906	1293
206	910	1288
207	914	1283
208	918	1278
209	922	1274
210	926	1269
211	930	1264
212	934	1259
213	938	1254
214	942	1249
215	946	1244
216	950	1239
217	954	1234
218	958	1229
219	962	1224
220	966	1220
221	970	1215
222	974	1210
223	978	1205
224	982	1200
225	986	1195
226	993	1195
227	999	1192
228	1006	1190
229	1010	1186
230	1014	1181
231	1018	1176
232	1022	1171
233	1026	1166
234	1030	1161
235	1034	1156
236	1038	1152
237	1042	1147
238	1046	1142
239	1049	1137
240	1054	1133
241	1058	1128
242	1062	1123
243	1066	1118
244	1070	1114
245	1074	1109
246	1078	1104
247	1082	1100
248	1088	1096
249	1092	1092
250	1096	1087
251	1100	1082
252	1104	1078
253	1108	1073
254	1112	1068
255	1116	1063
256	1120	1059
257	1124	1054
258	1128	1049
259	1132	1045
260	1136	1040
261	1140	1035
262	1144	1031
263	1148	1026
264	1152	1022
265	1157	1018
266	1161	1013
267	1165	1009
268	1169	1004
269	1174	1000
270	1178	995
271	1182	991
272	1186	986
273	1191	982
274	1195	978
275	1200	973
276	1204	969
277	1208	965
278	1212	960
279	1217	956
280	1221	951
